 size,  time, cycle, instr, L1_miss, LLC_miss, br_miss,  task,          scale,   IPC,   CPU,   GHz 
1130000, 5.930, 26.636, 5.007,   0.975,    0.196,   0.000, 5.930, 1000000000.000, 0.188, 1.000, 4.492 
1150000, 5.883, 26.423, 5.008,   0.976,    0.188,   0.000, 5.883, 1000000000.000, 0.190, 1.000, 4.491 
1140000, 6.013, 27.007, 5.008,   0.975,    0.205,   0.000, 6.013, 1000000000.000, 0.185, 1.000, 4.492 
1160000, 5.791, 26.010, 5.008,   0.976,    0.176,   0.000, 5.791, 1000000000.000, 0.193, 1.000, 4.492 
1180000, 5.647, 25.363, 5.007,   0.976,    0.156,   0.000, 5.647, 1000000000.000, 0.197, 1.000, 4.491 
1170000, 6.068, 27.256, 5.008,   0.976,    0.210,   0.000, 6.068, 1000000000.000, 0.184, 1.000, 4.492 
1190000, 6.075, 27.284, 5.008,   0.976,    0.210,   0.000, 6.075, 1000000000.000, 0.184, 1.000, 4.491 
1200000, 6.082, 27.314, 5.007,   0.977,    0.210,   0.000, 6.081, 1000000000.000, 0.183, 1.000, 4.491 
1210000, 6.249, 28.068, 5.008,   0.977,    0.231,   0.000, 6.249, 1000000000.000, 0.178, 1.000, 4.491 
1220000, 6.449, 28.967, 5.008,   0.977,    0.255,   0.000, 6.449, 1000000000.000, 0.173, 1.000, 4.492 
1230000, 6.197, 27.835, 5.008,   0.977,    0.223,   0.000, 6.197, 1000000000.000, 0.180, 1.000, 4.492 
1240000, 6.441, 28.928, 5.008,   0.978,    0.253,   0.000, 6.441, 1000000000.000, 0.173, 1.000, 4.492 
1250000, 6.420, 28.837, 5.008,   0.978,    0.250,   0.000, 6.420, 1000000000.000, 0.174, 1.000, 4.492 
1260000, 6.237, 28.013, 5.008,   0.978,    0.227,   0.000, 6.237, 1000000000.000, 0.179, 1.000, 4.491 
1270000, 6.634, 29.797, 5.008,   0.978,    0.276,   0.000, 6.634, 1000000000.000, 0.168, 1.000, 4.491 
1280000, 6.732, 30.222, 5.009,   0.978,    0.287,   0.000, 6.729, 1000000000.000, 0.166, 1.000, 4.491 
1290000, 6.699, 30.089, 5.009,   0.978,    0.283,   0.000, 6.699, 1000000000.000, 0.166, 1.000, 4.492 
1300000, 6.449, 28.961, 5.008,   0.978,    0.250,   0.000, 6.449, 1000000000.000, 0.173, 1.000, 4.491 
1310000, 6.689, 30.045, 5.009,   0.979,    0.281,   0.000, 6.689, 1000000000.000, 0.167, 1.000, 4.492 
1320000, 6.575, 29.531, 5.008,   0.979,    0.266,   0.000, 6.575, 1000000000.000, 0.170, 1.000, 4.492 
1330000, 6.776, 30.431, 5.009,   0.979,    0.291,   0.000, 6.775, 1000000000.000, 0.165, 1.000, 4.491 
1340000, 6.620, 29.733, 5.009,   0.979,    0.271,   0.000, 6.620, 1000000000.000, 0.168, 1.000, 4.492 
1350000, 6.608, 29.677, 5.008,   0.979,    0.269,   0.000, 6.607, 1000000000.000, 0.169, 1.000, 4.491 
1360000, 6.790, 30.495, 5.008,   0.979,    0.291,   0.000, 6.790, 1000000000.000, 0.164, 1.000, 4.491 
1370000, 6.717, 30.166, 5.009,   0.979,    0.282,   0.000, 6.717, 1000000000.000, 0.166, 1.000, 4.491 
1380000, 6.992, 31.405, 5.009,   0.979,    0.316,   0.000, 6.992, 1000000000.000, 0.159, 1.000, 4.492 
1390000, 6.975, 31.322, 5.009,   0.979,    0.314,   0.000, 6.975, 1000000000.000, 0.160, 1.000, 4.491 
1400000, 6.909, 31.031, 5.009,   0.980,    0.305,   0.000, 6.909, 1000000000.000, 0.161, 1.000, 4.492 
1410000, 6.841, 30.724, 5.009,   0.980,    0.296,   0.000, 6.840, 1000000000.000, 0.163, 1.000, 4.492 
1420000, 7.026, 31.557, 5.009,   0.980,    0.318,   0.000, 7.026, 1000000000.000, 0.159, 1.000, 4.491 
1430000, 7.416, 33.308, 5.009,   0.980,    0.366,   0.000, 7.416, 1000000000.000, 0.150, 1.000, 4.491 
1440000, 7.195, 32.312, 5.009,   0.980,    0.339,   0.000, 7.194, 1000000000.000, 0.155, 1.000, 4.491 
1450000, 6.981, 31.354, 5.009,   0.981,    0.312,   0.000, 6.981, 1000000000.000, 0.160, 1.000, 4.492 
1460000, 7.060, 31.707, 5.009,   0.980,    0.321,   0.000, 7.060, 1000000000.000, 0.158, 1.000, 4.491 
1470000, 7.030, 31.574, 5.009,   0.981,    0.317,   0.000, 7.030, 1000000000.000, 0.159, 1.000, 4.492 
1480000, 7.159, 32.155, 5.009,   0.981,    0.333,   0.000, 7.159, 1000000000.000, 0.156, 1.000, 4.492 
1490000, 7.255, 32.584, 5.009,   0.981,    0.344,   0.000, 7.255, 1000000000.000, 0.154, 1.000, 4.491 
1500000, 7.268, 32.646, 5.010,   0.981,    0.346,   0.000, 7.268, 1000000000.000, 0.153, 1.000, 4.492 
1510000, 7.272, 32.659, 5.009,   0.981,    0.346,   0.000, 7.271, 1000000000.000, 0.153, 1.000, 4.491 
1520000, 7.430, 33.368, 5.009,   0.981,    0.365,   0.000, 7.429, 1000000000.000, 0.150, 1.000, 4.491 
1530000, 7.380, 33.144, 5.010,   0.981,    0.359,   0.000, 7.379, 1000000000.000, 0.151, 1.000, 4.491 
1540000, 7.552, 33.915, 5.010,   0.982,    0.380,   0.000, 7.552, 1000000000.000, 0.148, 1.000, 4.491 
1550000, 7.419, 33.318, 5.009,   0.982,    0.363,   0.000, 7.419, 1000000000.000, 0.150, 1.000, 4.491 
1560000, 7.431, 33.369, 5.009,   0.982,    0.364,   0.000, 7.431, 1000000000.000, 0.150, 1.000, 4.491 
1570000, 7.575, 34.021, 5.009,   0.982,    0.382,   0.000, 7.574, 1000000000.000, 0.147, 1.000, 4.492 
1580000, 7.524, 33.793, 5.009,   0.982,    0.375,   0.000, 7.524, 1000000000.000, 0.148, 1.000, 4.491 
1600000, 7.562, 33.963, 5.009,   0.982,    0.379,   0.000, 7.562, 1000000000.000, 0.147, 1.000, 4.491 
1590000, 7.718, 34.661, 5.010,   0.982,    0.399,   0.000, 7.717, 1000000000.000, 0.145, 1.000, 4.491 
1610000, 7.625, 34.246, 5.010,   0.982,    0.387,   0.000, 7.625, 1000000000.000, 0.146, 1.000, 4.492 
1620000, 7.625, 34.247, 5.010,   0.982,    0.387,   0.000, 7.625, 1000000000.000, 0.146, 1.000, 4.491 
1630000, 7.682, 34.503, 5.010,   0.983,    0.393,   0.000, 7.682, 1000000000.000, 0.145, 1.000, 4.492 
1640000, 7.709, 34.624, 5.009,   0.983,    0.397,   0.000, 7.709, 1000000000.000, 0.145, 1.000, 4.492 
1650000, 7.726, 34.700, 5.010,   0.983,    0.398,   0.000, 7.726, 1000000000.000, 0.144, 1.000, 4.491 
1660000, 7.804, 35.049, 5.010,   0.983,    0.408,   0.000, 7.803, 1000000000.000, 0.143, 1.000, 4.492 
1670000, 7.904, 35.498, 5.010,   0.983,    0.420,   0.000, 7.904, 1000000000.000, 0.141, 1.000, 4.491 
1680000, 7.906, 35.506, 5.010,   0.983,    0.418,   0.000, 7.905, 1000000000.000, 0.141, 1.000, 4.491 
1690000, 7.881, 35.394, 5.010,   0.983,    0.417,   0.000, 7.880, 1000000000.000, 0.142, 1.000, 4.491 
1700000, 7.941, 35.667, 5.010,   0.984,    0.424,   0.000, 7.941, 1000000000.000, 0.140, 1.000, 4.492 
1710000, 7.924, 35.591, 5.010,   0.984,    0.422,   0.000, 7.924, 1000000000.000, 0.141, 1.000, 4.492 
1720000, 8.010, 35.974, 5.010,   0.984,    0.431,   0.000, 8.009, 1000000000.000, 0.139, 1.000, 4.492 
1730000, 7.988, 35.877, 5.010,   0.984,    0.429,   0.000, 7.988, 1000000000.000, 0.140, 1.000, 4.492 
1740000, 8.008, 35.968, 5.010,   0.984,    0.431,   0.000, 8.008, 1000000000.000, 0.139, 1.000, 4.491 
1750000, 8.059, 36.194, 5.011,   0.984,    0.437,   0.000, 8.058, 1000000000.000, 0.138, 1.000, 4.491 
1760000, 8.079, 36.286, 5.010,   0.984,    0.439,   0.000, 8.079, 1000000000.000, 0.138, 1.000, 4.491 
1770000, 8.077, 36.276, 5.010,   0.984,    0.439,   0.000, 8.077, 1000000000.000, 0.138, 1.000, 4.492 
1780000, 8.111, 36.427, 5.010,   0.984,    0.443,   0.000, 8.110, 1000000000.000, 0.138, 1.000, 4.491 
1790000, 8.148, 36.594, 5.010,   0.984,    0.447,   0.000, 8.147, 1000000000.000, 0.137, 1.000, 4.492 
1800000, 8.187, 36.770, 5.010,   0.985,    0.452,   0.000, 8.186, 1000000000.000, 0.136, 1.000, 4.492 
1810000, 8.239, 37.006, 5.010,   0.985,    0.458,   0.000, 8.239, 1000000000.000, 0.135, 1.000, 4.491 
1820000, 8.204, 36.848, 5.010,   0.985,    0.454,   0.000, 8.204, 1000000000.000, 0.136, 1.000, 4.492 
1830000, 8.259, 37.094, 5.010,   0.985,    0.460,   0.000, 8.259, 1000000000.000, 0.135, 1.000, 4.491 
1840000, 8.269, 37.138, 5.010,   0.985,    0.460,   0.000, 8.269, 1000000000.000, 0.135, 1.000, 4.491 
1850000, 8.337, 37.445, 5.010,   0.985,    0.469,   0.000, 8.337, 1000000000.000, 0.134, 1.000, 4.491 
1860000, 8.324, 37.388, 5.011,   0.985,    0.468,   0.000, 8.324, 1000000000.000, 0.134, 1.000, 4.492 
1870000, 8.357, 37.533, 5.011,   0.985,    0.472,   0.000, 8.356, 1000000000.000, 0.133, 1.000, 4.492 
