 size,  time, cycle, instr, L1_miss, LLC_miss, br_miss,  task,          scale,   IPC,   CPU,   GHz 
2870000, 10.177, 45.705, 5.012,   0.991,    0.661,   0.000, 10.177, 1000000000.000, 0.110, 1.000, 4.491 
2850000, 10.498, 47.143, 5.012,   0.991,    0.658,   0.000, 10.497, 1000000000.000, 0.106, 1.000, 4.491 
2890000, 10.157, 45.618, 5.012,   0.991,    0.663,   0.000, 10.156, 1000000000.000, 0.110, 1.000, 4.492 
2910000, 10.145, 45.562, 5.012,   0.991,    0.666,   0.000, 10.144, 1000000000.000, 0.110, 1.000, 4.491 
2900000, 10.233, 45.955, 5.012,   0.991,    0.666,   0.000, 10.232, 1000000000.000, 0.109, 1.000, 4.491 
2920000, 10.399, 46.704, 5.012,   0.991,    0.665,   0.000, 10.399, 1000000000.000, 0.107, 1.000, 4.491 
2950000, 10.201, 45.815, 5.013,   0.991,    0.673,   0.000, 10.200, 1000000000.000, 0.109, 1.000, 4.491 
2960000, 10.237, 45.980, 5.012,   0.991,    0.674,   0.000, 10.237, 1000000000.000, 0.109, 1.000, 4.492 
2930000, 10.525, 47.267, 5.012,   0.991,    0.668,   0.000, 10.525, 1000000000.000, 0.106, 1.000, 4.491 
2940000, 10.463, 46.988, 5.012,   0.991,    0.665,   0.000, 10.463, 1000000000.000, 0.107, 1.000, 4.491 
2970000, 10.385, 46.644, 5.012,   0.991,    0.670,   0.000, 10.385, 1000000000.000, 0.107, 1.000, 4.492 
2980000, 10.321, 46.356, 5.014,   0.991,    0.671,   0.000, 10.321, 1000000000.000, 0.108, 1.000, 4.492 
3000000, 10.275, 46.151, 5.013,   0.991,    0.675,   0.000, 10.275, 1000000000.000, 0.109, 1.000, 4.492 
3020000, 10.380, 46.620, 5.012,   0.991,    0.686,   0.000, 10.380, 1000000000.000, 0.108, 1.000, 4.492 
3050000, 10.373, 46.590, 5.013,   0.991,    0.681,   0.000, 10.373, 1000000000.000, 0.108, 1.000, 4.492 
2990000, 10.743, 48.241, 5.056,   0.992,    0.680,   0.000, 10.742, 1000000000.000, 0.105, 1.000, 4.491 
3030000, 10.518, 47.233, 5.012,   0.991,    0.679,   0.000, 10.518, 1000000000.000, 0.106, 1.000, 4.491 
3010000, 10.703, 48.065, 5.012,   0.991,    0.680,   0.000, 10.703, 1000000000.000, 0.104, 1.000, 4.491 
3060000, 10.387, 46.652, 5.013,   0.991,    0.684,   0.000, 10.387, 1000000000.000, 0.107, 1.000, 4.492 
3040000, 10.734, 48.199, 5.013,   0.991,    0.679,   0.000, 10.733, 1000000000.000, 0.104, 1.000, 4.491 
3080000, 10.478, 47.051, 5.012,   0.991,    0.686,   0.000, 10.478, 1000000000.000, 0.107, 1.000, 4.491 
3090000, 10.377, 46.604, 5.013,   0.992,    0.686,   0.000, 10.376, 1000000000.000, 0.108, 1.000, 4.491 
3070000, 10.713, 48.104, 5.013,   0.992,    0.691,   0.000, 10.713, 1000000000.000, 0.104, 1.000, 4.490 
3100000, 10.402, 46.720, 5.012,   0.991,    0.686,   0.000, 10.402, 1000000000.000, 0.107, 1.000, 4.492 
3110000, 10.693, 48.016, 5.012,   0.992,    0.692,   0.000, 10.692, 1000000000.000, 0.104, 1.000, 4.491 
3120000, 10.706, 48.074, 5.012,   0.991,    0.686,   0.000, 10.706, 1000000000.000, 0.104, 1.000, 4.490 
3140000, 10.680, 47.970, 5.013,   0.992,    0.693,   0.000, 10.680, 1000000000.000, 0.105, 1.000, 4.492 
3130000, 10.864, 48.795, 5.013,   0.992,    0.689,   0.000, 10.864, 1000000000.000, 0.103, 1.000, 4.492 
3150000, 10.788, 48.455, 5.014,   0.992,    0.692,   0.000, 10.788, 1000000000.000, 0.103, 1.000, 4.492 
3160000, 10.609, 47.651, 5.013,   0.992,    0.691,   0.000, 10.609, 1000000000.000, 0.105, 1.000, 4.492 
3170000, 10.558, 47.419, 5.013,   0.992,    0.692,   0.000, 10.558, 1000000000.000, 0.106, 1.000, 4.491 
3180000, 10.808, 48.536, 5.065,   0.993,    0.705,   0.000, 10.808, 1000000000.000, 0.104, 1.000, 4.491 
3200000, 10.817, 48.574, 5.012,   0.992,    0.696,   0.000, 10.816, 1000000000.000, 0.103, 1.000, 4.491 
3190000, 10.902, 48.957, 5.012,   0.992,    0.701,   0.000, 10.901, 1000000000.000, 0.102, 1.000, 4.491 
3210000, 10.751, 48.280, 5.013,   0.992,    0.699,   0.000, 10.750, 1000000000.000, 0.104, 1.000, 4.491 
3220000, 10.856, 48.750, 5.013,   0.992,    0.702,   0.000, 10.855, 1000000000.000, 0.103, 1.000, 4.491 
3230000, 10.814, 48.562, 5.013,   0.992,    0.702,   0.000, 10.814, 1000000000.000, 0.103, 1.000, 4.491 
3240000, 10.822, 48.601, 5.013,   0.992,    0.699,   0.000, 10.821, 1000000000.000, 0.103, 1.000, 4.491 
3260000, 10.750, 48.282, 5.013,   0.992,    0.699,   0.000, 10.750, 1000000000.000, 0.104, 1.000, 4.492 
3250000, 11.153, 50.085, 5.013,   0.992,    0.705,   0.000, 11.153, 1000000000.000, 0.100, 1.000, 4.491 
3280000, 10.905, 48.972, 5.013,   0.992,    0.707,   0.000, 10.905, 1000000000.000, 0.102, 1.000, 4.491 
3270000, 11.216, 50.367, 5.013,   0.992,    0.711,   0.000, 11.216, 1000000000.000, 0.100, 1.000, 4.491 
3290000, 10.905, 48.980, 5.015,   0.992,    0.703,   0.000, 10.905, 1000000000.000, 0.102, 1.000, 4.492 
3300000, 10.912, 49.012, 5.013,   0.992,    0.704,   0.000, 10.912, 1000000000.000, 0.102, 1.000, 4.492 
3310000, 10.828, 48.633, 5.013,   0.992,    0.705,   0.000, 10.828, 1000000000.000, 0.103, 1.000, 4.492 
3320000, 10.866, 48.803, 5.013,   0.992,    0.704,   0.000, 10.866, 1000000000.000, 0.103, 1.000, 4.492 
3330000, 11.326, 50.868, 5.013,   0.992,    0.709,   0.000, 11.325, 1000000000.000, 0.099, 1.000, 4.492 
3370000, 11.180, 50.212, 5.013,   0.992,    0.709,   0.000, 11.179, 1000000000.000, 0.100, 1.000, 4.492 
3340000, 11.324, 50.852, 5.047,   0.993,    0.711,   0.000, 11.324, 1000000000.000, 0.099, 1.000, 4.491 
3350000, 11.340, 50.926, 5.013,   0.992,    0.712,   0.000, 11.340, 1000000000.000, 0.098, 1.000, 4.491 
3380000, 11.201, 50.303, 5.013,   0.992,    0.714,   0.000, 11.201, 1000000000.000, 0.100, 1.000, 4.491 
3360000, 11.579, 51.997, 5.013,   0.992,    0.710,   0.000, 11.578, 1000000000.000, 0.096, 1.000, 4.491 
3410000, 11.311, 50.801, 5.013,   0.992,    0.717,   0.000, 11.310, 1000000000.000, 0.099, 1.000, 4.492 
3400000, 11.435, 51.357, 5.014,   0.992,    0.718,   0.000, 11.434, 1000000000.000, 0.098, 1.000, 4.491 
3390000, 11.821, 53.087, 5.014,   0.993,    0.721,   0.000, 11.821, 1000000000.000, 0.094, 1.000, 4.491 
3420000, 12.065, 54.183, 5.014,   0.993,    0.723,   0.000, 12.065, 1000000000.000, 0.093, 1.000, 4.491 
3430000, 11.938, 53.605, 5.014,   0.992,    0.719,   0.000, 11.938, 1000000000.000, 0.094, 1.000, 4.490 
3440000, 12.080, 54.249, 5.014,   0.993,    0.721,   0.000, 12.080, 1000000000.000, 0.092, 1.000, 4.491 
3450000, 11.913, 53.507, 5.015,   0.993,    0.718,   0.000, 11.913, 1000000000.000, 0.094, 1.000, 4.492 
3460000, 11.935, 53.602, 5.014,   0.992,    0.718,   0.000, 11.934, 1000000000.000, 0.094, 1.000, 4.492 
3480000, 11.978, 53.793, 5.015,   0.993,    0.724,   0.000, 11.978, 1000000000.000, 0.093, 1.000, 4.491 
3510000, 11.412, 51.253, 5.014,   0.992,    0.722,   0.000, 11.412, 1000000000.000, 0.098, 1.000, 4.491 
3490000, 12.005, 53.915, 5.014,   0.993,    0.720,   0.000, 12.004, 1000000000.000, 0.093, 1.000, 4.491 
3550000, 11.358, 51.005, 5.013,   0.993,    0.732,   0.000, 11.358, 1000000000.000, 0.098, 1.000, 4.491 
3500000, 12.118, 54.423, 5.014,   0.993,    0.723,   0.000, 12.117, 1000000000.000, 0.092, 1.000, 4.491 
3520000, 12.116, 54.413, 5.014,   0.993,    0.726,   0.000, 12.116, 1000000000.000, 0.092, 1.000, 4.491 
3470000, 13.189, 59.239, 5.016,   0.993,    0.727,   0.000, 13.189, 1000000000.000, 0.085, 1.000, 4.492 
3540000, 11.854, 53.241, 5.014,   0.993,    0.728,   0.000, 11.854, 1000000000.000, 0.094, 1.000, 4.491 
3530000, 12.028, 53.996, 5.016,   0.993,    0.722,   0.000, 12.023, 1000000000.000, 0.093, 1.000, 4.491 
3570000, 11.631, 52.236, 5.013,   0.993,    0.729,   0.000, 11.631, 1000000000.000, 0.096, 1.000, 4.491 
3560000, 12.175, 54.674, 5.014,   0.993,    0.728,   0.000, 12.174, 1000000000.000, 0.092, 1.000, 4.491 
3580000, 11.623, 52.202, 5.013,   0.993,    0.728,   0.000, 11.623, 1000000000.000, 0.096, 1.000, 4.491 
3590000, 12.077, 54.239, 5.014,   0.993,    0.728,   0.000, 12.077, 1000000000.000, 0.092, 1.000, 4.491 
3600000, 12.706, 57.057, 5.015,   0.993,    0.739,   0.000, 12.706, 1000000000.000, 0.088, 1.000, 4.491 
3610000, 11.857, 53.254, 5.014,   0.993,    0.734,   0.000, 11.857, 1000000000.000, 0.094, 1.000, 4.492 
3620000, 11.954, 53.691, 5.014,   0.993,    0.731,   0.000, 11.954, 1000000000.000, 0.093, 1.000, 4.492 
3630000, 11.810, 53.042, 5.015,   0.993,    0.732,   0.000, 11.809, 1000000000.000, 0.095, 1.000, 4.492 
3640000, 12.134, 54.498, 5.021,   0.993,    0.731,   0.000, 12.134, 1000000000.000, 0.092, 1.000, 4.491 
3700000, 11.659, 52.365, 5.013,   0.993,    0.736,   0.000, 11.659, 1000000000.000, 0.096, 1.000, 4.492 
3670000, 12.189, 54.747, 5.014,   0.993,    0.733,   0.000, 12.189, 1000000000.000, 0.092, 1.000, 4.492 
3660000, 12.392, 55.642, 5.014,   0.993,    0.735,   0.000, 12.391, 1000000000.000, 0.090, 1.000, 4.490 
3710000, 12.101, 54.322, 5.016,   0.993,    0.736,   0.000, 12.096, 1000000000.000, 0.092, 1.000, 4.491 
3680000, 12.441, 55.876, 5.014,   0.993,    0.732,   0.000, 12.441, 1000000000.000, 0.090, 1.000, 4.491 
3690000, 12.441, 55.875, 5.014,   0.993,    0.740,   0.000, 12.440, 1000000000.000, 0.090, 1.000, 4.492 
3650000, 13.178, 59.188, 5.015,   0.993,    0.732,   0.000, 13.178, 1000000000.000, 0.085, 1.000, 4.492 
3720000, 12.613, 56.647, 5.014,   0.993,    0.735,   0.000, 12.612, 1000000000.000, 0.089, 1.000, 4.491 
3740000, 12.061, 54.170, 5.014,   0.993,    0.742,   0.000, 12.061, 1000000000.000, 0.093, 1.000, 4.491 
3730000, 12.756, 57.289, 5.015,   0.993,    0.742,   0.000, 12.755, 1000000000.000, 0.088, 1.000, 4.491 
3750000, 12.219, 54.878, 5.014,   0.993,    0.739,   0.000, 12.219, 1000000000.000, 0.091, 1.000, 4.491 
3760000, 12.980, 58.292, 5.015,   0.993,    0.743,   0.000, 12.979, 1000000000.000, 0.086, 1.000, 4.491 
3770000, 12.112, 54.401, 5.014,   0.993,    0.743,   0.000, 12.112, 1000000000.000, 0.092, 1.000, 4.492 
3780000, 12.036, 54.058, 5.014,   0.993,    0.744,   0.000, 12.035, 1000000000.000, 0.093, 1.000, 4.492 
3790000, 12.723, 57.143, 5.015,   0.993,    0.744,   0.000, 12.723, 1000000000.000, 0.088, 1.000, 4.491 
3810000, 12.201, 54.798, 5.014,   0.993,    0.743,   0.000, 12.200, 1000000000.000, 0.092, 1.000, 4.492 
3820000, 12.387, 55.635, 5.014,   0.993,    0.745,   0.000, 12.387, 1000000000.000, 0.090, 1.000, 4.492 
3800000, 13.184, 59.209, 5.016,   0.993,    0.745,   0.000, 13.183, 1000000000.000, 0.085, 1.000, 4.491 
3850000, 12.468, 55.996, 5.014,   0.993,    0.745,   0.000, 12.468, 1000000000.000, 0.090, 1.000, 4.491 
3860000, 12.877, 57.832, 5.015,   0.993,    0.747,   0.000, 12.876, 1000000000.000, 0.087, 1.000, 4.491 
3890000, 12.216, 54.864, 5.014,   0.993,    0.748,   0.000, 12.216, 1000000000.000, 0.091, 1.000, 4.491 
3870000, 12.994, 58.337, 5.016,   0.993,    0.750,   0.000, 12.990, 1000000000.000, 0.086, 1.000, 4.491 
3830000, 13.851, 62.208, 5.015,   0.993,    0.745,   0.000, 13.851, 1000000000.000, 0.081, 1.000, 4.491 
3840000, 14.151, 63.559, 5.018,   0.993,    0.749,   0.000, 14.151, 1000000000.000, 0.079, 1.000, 4.492 
3910000, 12.927, 58.058, 5.014,   0.993,    0.749,   0.000, 12.927, 1000000000.000, 0.086, 1.000, 4.491 
3880000, 13.926, 62.544, 5.016,   0.993,    0.748,   0.000, 13.926, 1000000000.000, 0.080, 1.000, 4.491 
3920000, 12.072, 54.221, 5.014,   0.993,    0.752,   0.000, 12.072, 1000000000.000, 0.092, 1.000, 4.492 
3900000, 14.568, 65.430, 5.017,   0.993,    0.750,   0.000, 14.568, 1000000000.000, 0.077, 1.000, 4.491 
3930000, 12.886, 57.876, 5.015,   0.993,    0.752,   0.000, 12.886, 1000000000.000, 0.087, 1.000, 4.492 
3940000, 12.943, 58.132, 5.015,   0.993,    0.752,   0.000, 12.943, 1000000000.000, 0.086, 1.000, 4.492 
3950000, 12.810, 57.532, 5.015,   0.993,    0.752,   0.000, 12.809, 1000000000.000, 0.087, 1.000, 4.492 
3960000, 13.017, 58.464, 5.015,   0.993,    0.753,   0.000, 13.016, 1000000000.000, 0.086, 1.000, 4.492 
3980000, 13.363, 60.018, 5.017,   0.994,    0.754,   0.000, 13.363, 1000000000.000, 0.084, 1.000, 4.491 
3970000, 13.533, 60.783, 5.016,   0.993,    0.754,   0.000, 13.533, 1000000000.000, 0.083, 1.000, 4.492 
4030000, 13.324, 59.841, 5.015,   0.994,    0.760,   0.000, 13.324, 1000000000.000, 0.084, 1.000, 4.491 
3990000, 14.464, 64.960, 5.016,   0.994,    0.758,   0.000, 14.463, 1000000000.000, 0.077, 1.000, 4.491 
4020000, 13.673, 61.407, 5.015,   0.994,    0.759,   0.000, 13.672, 1000000000.000, 0.082, 1.000, 4.491 
4010000, 14.266, 64.073, 5.017,   0.994,    0.755,   0.000, 14.266, 1000000000.000, 0.078, 1.000, 4.491 
4060000, 13.168, 59.143, 5.015,   0.994,    0.760,   0.000, 13.168, 1000000000.000, 0.085, 1.000, 4.491 
4070000, 12.678, 56.942, 5.015,   0.994,    0.760,   0.000, 12.678, 1000000000.000, 0.088, 1.000, 4.492 
4050000, 13.896, 62.409, 5.016,   0.994,    0.759,   0.000, 13.895, 1000000000.000, 0.080, 1.000, 4.491 
4040000, 14.999, 67.368, 5.017,   0.994,    0.760,   0.000, 14.999, 1000000000.000, 0.074, 1.000, 4.492 
4000000, 16.506, 74.130, 5.019,   0.994,    0.755,   0.000, 16.505, 1000000000.000, 0.068, 1.000, 4.491 
4080000, 14.409, 64.717, 5.017,   0.994,    0.761,   0.000, 14.409, 1000000000.000, 0.078, 1.000, 4.491 
4110000, 13.130, 58.973, 5.015,   0.994,    0.764,   0.000, 13.130, 1000000000.000, 0.085, 1.000, 4.492 
4100000, 14.188, 63.722, 5.016,   0.994,    0.762,   0.000, 14.187, 1000000000.000, 0.079, 1.000, 4.492 
4090000, 14.767, 66.321, 5.017,   0.994,    0.761,   0.000, 14.766, 1000000000.000, 0.076, 1.000, 4.491 
4130000, 13.680, 61.437, 5.017,   0.994,    0.764,   0.000, 13.680, 1000000000.000, 0.082, 1.000, 4.491 
4140000, 13.935, 62.587, 5.016,   0.994,    0.764,   0.000, 13.934, 1000000000.000, 0.080, 1.000, 4.492 
4120000, 15.261, 68.543, 5.017,   0.994,    0.765,   0.000, 15.261, 1000000000.000, 0.073, 1.000, 4.492 
4180000, 13.638, 61.249, 5.015,   0.994,    0.768,   0.000, 13.638, 1000000000.000, 0.082, 1.000, 4.491 
4160000, 14.360, 64.492, 5.018,   0.994,    0.768,   0.000, 14.360, 1000000000.000, 0.078, 1.000, 4.491 
4170000, 15.626, 70.173, 5.018,   0.994,    0.769,   0.000, 15.625, 1000000000.000, 0.072, 1.000, 4.491 
4210000, 14.427, 64.791, 5.016,   0.994,    0.770,   0.000, 14.426, 1000000000.000, 0.077, 1.000, 4.491 
4190000, 15.586, 69.999, 5.018,   0.994,    0.769,   0.000, 15.586, 1000000000.000, 0.072, 1.000, 4.491 
4150000, 16.468, 73.958, 5.018,   0.994,    0.767,   0.000, 16.468, 1000000000.000, 0.068, 1.000, 4.491 
4200000, 15.526, 69.733, 5.018,   0.994,    0.769,   0.000, 15.525, 1000000000.000, 0.072, 1.000, 4.492 
4220000, 14.953, 67.161, 5.017,   0.994,    0.769,   0.000, 14.953, 1000000000.000, 0.075, 1.000, 4.492 
4230000, 15.666, 70.355, 5.018,   0.994,    0.772,   0.000, 15.665, 1000000000.000, 0.071, 1.000, 4.491 
4240000, 16.239, 72.935, 5.019,   0.994,    0.773,   0.000, 16.238, 1000000000.000, 0.069, 1.000, 4.492 
4250000, 14.982, 67.291, 5.017,   0.994,    0.772,   0.000, 14.982, 1000000000.000, 0.075, 1.000, 4.492 
4260000, 14.674, 65.908, 5.017,   0.994,    0.773,   0.000, 14.674, 1000000000.000, 0.076, 1.000, 4.492 
4270000, 14.988, 67.317, 5.017,   0.994,    0.772,   0.000, 14.987, 1000000000.000, 0.075, 1.000, 4.492 
4290000, 14.012, 62.932, 5.016,   0.994,    0.771,   0.000, 14.011, 1000000000.000, 0.080, 1.000, 4.492 
4310000, 14.027, 62.999, 5.016,   0.994,    0.775,   0.000, 14.027, 1000000000.000, 0.080, 1.000, 4.491 
4300000, 15.890, 71.370, 5.018,   0.994,    0.776,   0.000, 15.890, 1000000000.000, 0.070, 1.000, 4.492 
4280000, 16.790, 75.408, 5.035,   0.995,    0.775,   0.000, 16.790, 1000000000.000, 0.067, 1.000, 4.491 
4320000, 15.338, 68.887, 5.020,   0.994,    0.776,   0.000, 15.338, 1000000000.000, 0.073, 1.000, 4.491 
4350000, 14.827, 66.593, 5.017,   0.994,    0.779,   0.000, 14.827, 1000000000.000, 0.075, 1.000, 4.491 
4340000, 16.489, 74.056, 5.018,   0.994,    0.776,   0.000, 16.489, 1000000000.000, 0.068, 1.000, 4.491 
4370000, 16.594, 74.532, 5.019,   0.994,    0.778,   0.000, 16.594, 1000000000.000, 0.067, 1.000, 4.492 
4330000, 17.606, 79.070, 5.020,   0.994,    0.778,   0.000, 17.605, 1000000000.000, 0.063, 1.000, 4.491 
4360000, 18.946, 85.091, 5.021,   0.994,    0.776,   0.000, 18.946, 1000000000.000, 0.059, 1.000, 4.491 
4380000, 19.036, 85.498, 5.023,   0.995,    0.778,   0.000, 19.035, 1000000000.000, 0.059, 1.000, 4.492 
4400000, 16.762, 75.286, 5.019,   0.994,    0.782,   0.000, 16.762, 1000000000.000, 0.067, 1.000, 4.492 
4390000, 18.417, 82.716, 5.021,   0.994,    0.781,   0.000, 18.417, 1000000000.000, 0.061, 1.000, 4.491 
4430000, 14.690, 65.977, 5.017,   0.994,    0.779,   0.000, 14.689, 1000000000.000, 0.076, 1.000, 4.492 
4420000, 15.796, 70.949, 5.018,   0.995,    0.781,   0.000, 15.796, 1000000000.000, 0.071, 1.000, 4.492 
4410000, 17.109, 76.844, 5.019,   0.995,    0.782,   0.000, 17.109, 1000000000.000, 0.065, 1.000, 4.492 
4440000, 15.846, 71.170, 5.018,   0.994,    0.782,   0.000, 15.845, 1000000000.000, 0.071, 1.000, 4.492 
4460000, 14.817, 66.548, 5.017,   0.995,    0.781,   0.000, 14.816, 1000000000.000, 0.075, 1.000, 4.492 
4450000, 16.308, 73.241, 5.018,   0.994,    0.783,   0.000, 16.307, 1000000000.000, 0.069, 1.000, 4.491 
4480000, 15.369, 69.023, 5.017,   0.994,    0.785,   0.000, 15.368, 1000000000.000, 0.073, 1.000, 4.491 
4470000, 16.792, 75.414, 5.091,   0.996,    0.787,   0.000, 16.791, 1000000000.000, 0.068, 1.000, 4.491 
4500000, 15.974, 71.738, 5.018,   0.995,    0.786,   0.000, 15.973, 1000000000.000, 0.070, 1.000, 4.491 
4520000, 15.425, 69.262, 5.020,   0.995,    0.786,   0.000, 15.422, 1000000000.000, 0.072, 1.000, 4.491 
4510000, 15.819, 71.052, 5.018,   0.995,    0.785,   0.000, 15.819, 1000000000.000, 0.071, 1.000, 4.492 
4490000, 19.858, 89.182, 5.023,   0.995,    0.788,   0.000, 19.857, 1000000000.000, 0.056, 1.000, 4.491 
4560000, 16.446, 73.858, 5.018,   0.995,    0.791,   0.000, 16.446, 1000000000.000, 0.068, 1.000, 4.491 
4570000, 15.313, 68.777, 5.019,   0.995,    0.789,   0.000, 15.313, 1000000000.000, 0.073, 1.000, 4.492 
4540000, 19.964, 89.663, 5.023,   0.995,    0.787,   0.000, 19.963, 1000000000.000, 0.056, 1.000, 4.491 
4530000, 20.810, 93.458, 5.024,   0.995,    0.789,   0.000, 20.810, 1000000000.000, 0.054, 1.000, 4.491 
4550000, 21.400, 96.115, 5.025,   0.995,    0.790,   0.000, 21.399, 1000000000.000, 0.052, 1.000, 4.491 
4580000, 16.811, 75.504, 5.019,   0.995,    0.788,   0.000, 16.810, 1000000000.000, 0.066, 1.000, 4.492 
4590000, 16.237, 72.927, 5.019,   0.995,    0.788,   0.000, 16.237, 1000000000.000, 0.069, 1.000, 4.492 
4600000, 19.648, 88.245, 5.022,   0.995,    0.789,   0.000, 19.647, 1000000000.000, 0.057, 1.000, 4.492 
4610000, 19.116, 85.859, 5.022,   0.995,    0.792,   0.000, 19.116, 1000000000.000, 0.058, 1.000, 4.492 
4640000, 17.606, 79.071, 5.021,   0.995,    0.791,   0.000, 17.606, 1000000000.000, 0.063, 1.000, 4.491 
4670000, 15.957, 71.668, 5.018,   0.995,    0.791,   0.000, 15.956, 1000000000.000, 0.070, 1.000, 4.492 
4630000, 21.077, 94.657, 5.025,   0.996,    0.795,   0.000, 21.076, 1000000000.000, 0.053, 1.000, 4.491 
4620000, 21.914, 98.416, 5.025,   0.995,    0.793,   0.000, 21.913, 1000000000.000, 0.051, 1.000, 4.491 
4650000, 19.288, 86.624, 5.022,   0.995,    0.791,   0.000, 19.287, 1000000000.000, 0.058, 1.000, 4.491 
4680000, 17.292, 77.663, 5.020,   0.995,    0.795,   0.000, 17.292, 1000000000.000, 0.065, 1.000, 4.491 
4690000, 16.254, 72.999, 5.018,   0.995,    0.793,   0.000, 16.253, 1000000000.000, 0.069, 1.000, 4.491 
4660000, 21.661, 97.274, 5.025,   0.995,    0.795,   0.000, 21.659, 1000000000.000, 0.052, 1.000, 4.491 
4720000, 16.714, 75.066, 5.019,   0.995,    0.795,   0.000, 16.713, 1000000000.000, 0.067, 1.000, 4.491 
4700000, 18.345, 82.393, 5.021,   0.995,    0.793,   0.000, 18.344, 1000000000.000, 0.061, 1.000, 4.492 
4740000, 16.795, 75.432, 5.019,   0.995,    0.793,   0.000, 16.794, 1000000000.000, 0.067, 1.000, 4.492 
4750000, 17.396, 78.135, 5.020,   0.995,    0.796,   0.000, 17.396, 1000000000.000, 0.064, 1.000, 4.492 
4710000, 20.119, 90.362, 5.023,   0.995,    0.794,   0.000, 20.118, 1000000000.000, 0.056, 1.000, 4.492 
4730000, 20.101, 90.281, 5.023,   0.995,    0.795,   0.000, 20.100, 1000000000.000, 0.056, 1.000, 4.492 
4760000, 16.209, 72.797, 5.019,   0.995,    0.794,   0.000, 16.208, 1000000000.000, 0.069, 1.000, 4.491 
4780000, 15.862, 71.239, 5.025,   0.995,    0.797,   0.000, 15.861, 1000000000.000, 0.071, 1.000, 4.491 
4790000, 16.024, 71.970, 5.019,   0.995,    0.796,   0.000, 16.024, 1000000000.000, 0.070, 1.000, 4.492 
4810000, 15.282, 68.634, 5.020,   0.995,    0.798,   0.000, 15.281, 1000000000.000, 0.073, 1.000, 4.491 
4800000, 16.251, 72.981, 5.018,   0.995,    0.801,   0.000, 16.251, 1000000000.000, 0.069, 1.000, 4.491 
4770000, 21.555, 96.813, 5.024,   0.995,    0.798,   0.000, 21.555, 1000000000.000, 0.052, 1.000, 4.492 
4850000, 15.961, 71.646, 5.020,   0.995,    0.800,   0.000, 15.954, 1000000000.000, 0.070, 1.000, 4.491 
4830000, 21.804, 97.928, 5.024,   0.995,    0.799,   0.000, 21.804, 1000000000.000, 0.051, 1.000, 4.491 
4910000, 14.762, 66.302, 5.017,   0.995,    0.802,   0.000, 14.762, 1000000000.000, 0.076, 1.000, 4.492 
4840000, 24.934, 111.981, 5.028,   0.996,    0.800,   0.000, 24.933, 1000000000.000, 0.045, 1.000, 4.491 
4930000, 16.056, 72.105, 5.021,   0.995,    0.804,   0.000, 16.055, 1000000000.000, 0.070, 1.000, 4.491 
4890000, 19.759, 88.747, 5.022,   0.995,    0.801,   0.000, 19.759, 1000000000.000, 0.057, 1.000, 4.492 
4860000, 22.877, 102.746, 5.026,   0.995,    0.803,   0.000, 22.876, 1000000000.000, 0.049, 1.000, 4.491 
4870000, 21.847, 98.121, 5.027,   0.995,    0.801,   0.000, 21.846, 1000000000.000, 0.051, 1.000, 4.492 
4820000, 28.892, 129.761, 5.033,   0.996,    0.801,   0.000, 28.891, 1000000000.000, 0.039, 1.000, 4.491 
4950000, 15.227, 68.387, 5.017,   0.995,    0.803,   0.000, 15.227, 1000000000.000, 0.073, 1.000, 4.491 
4940000, 16.743, 75.202, 5.019,   0.995,    0.803,   0.000, 16.743, 1000000000.000, 0.067, 1.000, 4.492 
4880000, 23.447, 105.309, 5.026,   0.995,    0.802,   0.000, 23.446, 1000000000.000, 0.048, 1.000, 4.492 
4960000, 15.643, 70.255, 5.018,   0.995,    0.803,   0.000, 15.642, 1000000000.000, 0.071, 1.000, 4.491 
4900000, 22.077, 99.155, 5.026,   0.995,    0.803,   0.000, 22.076, 1000000000.000, 0.051, 1.000, 4.492 
4970000, 14.177, 63.673, 5.016,   0.995,    0.805,   0.000, 14.176, 1000000000.000, 0.079, 1.000, 4.492 
4920000, 20.726, 93.086, 5.024,   0.995,    0.803,   0.000, 20.725, 1000000000.000, 0.054, 1.000, 4.492 
4980000, 15.935, 71.476, 5.023,   0.995,    0.806,   0.000, 15.914, 1000000000.000, 0.070, 0.999, 4.491 
4990000, 12.661, 56.862, 5.015,   0.995,    0.804,   0.000, 12.660, 1000000000.000, 0.088, 1.000, 4.491 
5000000, 13.482, 60.540, 5.017,   0.995,    0.806,   0.000, 13.482, 1000000000.000, 0.083, 1.000, 4.491 
