config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,    cycle,   instr, L1_miss, LLC_miss, br_miss,    task,       scale,   IPC,   CPU,   GHz 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.601, 1034.693, 526.025,   7.407,    3.196,   0.164, 200.368, 3000000.000, 0.508, 1.000, 5.164 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.088, 90.693, 139.026,   0.936,    0.183,   0.000, 17.528, 5000000.000, 1.533, 1.000, 5.174 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.371, 640.748, 616.690,  11.939,    3.085,   5.828, 123.604, 3000000.000, 0.962, 1.000, 5.184 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.297, 302.629, 549.464,   3.439,    0.470,   1.612, 59.438, 5000000.000, 1.816, 1.000, 5.091 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 0.566, 973.865, 526.041,   7.354,    3.102,   0.165, 188.814, 3000000.000, 0.540, 1.000, 5.158 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.086, 87.163, 139.026,   0.946,    0.123,   0.000, 17.257, 5000000.000, 1.595, 1.000, 5.051 
      hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 1.802, 3092.042, 1210.855,  25.963,   14.223,  12.868, 600.823, 3000000.000, 0.392, 1.000, 5.146 
      hints,                   16,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.416, 426.737, 844.836,   5.530,    0.745,   1.867, 83.189, 5000000.000, 1.980, 1.000, 5.130 
      inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 1.768, 3034.481, 1101.088,  27.619,   15.144,  11.824, 589.461, 3000000.000, 0.363, 1.000, 5.148 
      inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.481, 490.883, 713.075,   5.530,    1.123,   1.884, 96.119, 5000000.000, 1.453, 1.000, 5.107 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 1.823, 3127.309, 927.881,  24.746,   14.202,  12.269, 607.521, 3000000.000, 0.297, 1.000, 5.148 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.461, 470.749, 640.989,   6.081,    1.163,   1.893, 92.255, 5000000.000, 1.362, 1.000, 5.103 
       hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 1.738, 2927.497, 1486.056,  23.337,   12.716,  11.785, 579.176, 3000000.000, 0.508, 1.000, 5.055 
