config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,    cycle,   instr, L1_miss, LLC_miss, br_miss,    task,       scale,   IPC,   CPU,   GHz 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   5000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 2.949, 3084.556, 526.521,   7.124,    3.301,   0.202, 589.639, 5000000.000, 0.171, 1.000, 5.231 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   5000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.516, 89.071, 137.021,   0.849,    0.137,   0.000, 17.198, 30000000.000, 1.538, 1.000, 5.179 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   5000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 2.614, 2731.367, 525.244,   8.415,    4.124,   0.173, 522.744, 5000000.000, 0.192, 1.000, 5.225 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   5000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.415, 71.341, 137.020,   0.859,    0.138,   0.000, 13.839, 30000000.000, 1.921, 1.000, 5.155 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   5000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 1.889, 1978.792, 700.659,  13.742,    5.630,   6.240, 377.683, 5000000.000, 0.354, 1.000, 5.239 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   5000000,           0, ycsb_c,            0,      1,             20,  1.500000, 1.944, 334.941, 638.190,   3.146,    0.444,   1.528, 64.770, 30000000.000, 1.905, 1.000, 5.171 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   5000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 5.454, 5672.038, 966.305,  25.122,   14.892,  12.731, 1090.629, 5000000.000, 0.170, 1.000, 5.201 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   5000000,           0, ycsb_c,            0,      1,             20,  1.500000, 3.086, 523.514, 717.546,   6.787,    1.293,   1.841, 102.345, 30000000.000, 1.371, 0.995, 5.115 
      inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   5000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 5.523, 5650.011, 1123.995,  28.015,   16.675,  12.116, 1104.140, 5000000.000, 0.199, 1.000, 5.117 
      inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   5000000,           0, ycsb_c,            0,      1,             20,  1.500000, 2.709, 455.025, 701.683,   5.308,    1.092,   1.788, 90.047, 30000000.000, 1.542, 0.997, 5.053 
       hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   5000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 5.365, 5489.177, 1531.121,  25.434,   15.223,  12.303, 1072.664, 5000000.000, 0.279, 1.000, 5.117 
       hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   5000000,           0, ycsb_c,            0,      1,             20,  1.500000, 3.148, 523.762, 850.113,   6.068,    1.121,   1.695, 104.930, 30000000.000, 1.623, 1.000, 4.992 
