config_name, const_basicHintCount, const_enableBasicHead, const_enableDense, const_enableHash, const_enableHeadNode, const_enablePrefix, const_hashSimdWidth, const_hashSortUseStdMerge, const_hashUseCrc32, const_hashUseSimd, const_headNode4HintCount, const_headNode8HintCount, const_pageSize, data_name, data_size, data_sorted,          op, payload_size, run_id, ycsb_range_len, ycsb_zipf,  time,    cycle,   instr, L1_miss, LLC_miss, br_miss,    task,       scale,   IPC,   CPU,   GHz 
       hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d_init,            0,      1,             20,  1.500000, 1.735, 3192.145, 1523.455,  21.766,   11.089,  11.564, 630.971, 2750000.000, 0.477, 1.000, 5.059 
       hash,                   16,                     1,                 0,                1,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d,            0,      1,             20,  1.500000, 1.331, 675.749, 887.204,   6.282,    1.471,   3.931, 133.145, 10000000.000, 1.313, 1.000, 5.075 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d_init,            0,      1,             20,  1.500000, 1.178, 2177.633, 624.831,  11.303,    5.940,   0.639, 428.277, 2750000.000, 0.287, 1.000, 5.085 
        art,                    0,                     0,                 0,                0,                    0,                  0,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d,            0,      1,             20,  1.500000, 0.342, 171.154, 168.002,   1.958,    0.486,   0.130, 34.227, 10000000.000, 0.982, 1.000, 5.001 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 1.916, 3306.562, 926.959, 108.632,   74.282,  11.940, 638.394, 3000000.000, 0.280, 1.000, 5.179 
      heads,                    0,                     1,                 0,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.622, 316.602, 499.499,   5.404,    1.118,   1.823, 62.220, 10000000.000, 1.578, 1.000, 5.088 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d_init,            0,      1,             20,  1.500000, 0.833, 1539.436, 832.230,  16.715,    8.154,   8.707, 303.011, 2750000.000, 0.541, 1.000, 5.080 
      dense,                   16,                     1,                 1,                0,                    0,                  1,                  32,                         1,                  0,                 1,                       16,                       16,            512,       int,   3000000,           0, ycsb_d,            0,      1,             20,  1.500000, 1.095, 552.541, 670.082,   5.119,    1.024,   3.491, 109.540, 10000000.000, 1.213, 1.000, 5.044 
      inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   3000000,           0, ycsb_c_init,            0,      1,             20,  1.500000, 1.994, 3432.199, 1051.505, 102.239,   51.421,  10.507, 664.786, 3000000.000, 0.306, 1.000, 5.163 
      inner,                   16,                     1,                 0,                0,                    1,                  1,                  32,                         1,                  0,                 1,                       16,                       16,          16384,       int,   3000000,           0, ycsb_c,            0,      1,             20,  1.500000, 0.738, 370.252, 540.251,   3.652,    0.708,   1.565, 73.804, 10000000.000, 1.459, 1.000, 5.017 
